,Ciphertext 1,Trace 1,Ciphertext 2,Trace 2,Ciphertext 3,Trace 3,Ciphertext 4,Trace 4,Ciphertext 5,Trace 5,Ciphertext 6,Trace 6,Ciphertext 7,Trace 7,Ciphertext 8,Trace 8,_,Cipherhex 1,Cipherhex 2,Cipherhex 3,Cipherhex 4,Cipherhex 5,Cipherhex 6,Cipherhex 7,Cipherhex 8
0,27,154.86,138,151.88,112,153.52,115,153.28,46,155.57,86,154.34,211,149.72,118,152.33,,1B,8A,70,73,2E,56,D3,76
1,7,156.77,176,150.13,99,153.78,11,156.96,58,154.19,36,155.06,9,157.13,240,148.28,,7,B0,63,B,3A,24,9,F0
2,139,151.42,162,151,46,155.87,152,151.26,151,151.23,98,153.25,249,149.32,237,148.82,,8B,A2,2E,98,97,62,F9,ED
3,17,156.25,12,156.89,202,151.06,177,151.41,194,150.07,126,152.89,150,151.06,191,151.07,,11,C,CA,B1,C2,7E,96,BF
4,176,150.78,69,154.47,159,151.83,175,151.02,51,154.09,142,152.19,126,152.51,239,149.21,,B0,45,9F,AF,33,8E,7E,EF
5,149,151.33,30,156.55,152,151.59,27,156.54,134,151.45,110,152.75,105,153.22,196,149.67,,95,1E,98,1B,86,6E,69,C4
6,174,150.44,254,148.42,234,149.67,84,153.85,251,148.01,200,150.69,122,153.1,139,151.59,,AE,FE,EA,54,FB,C8,7A,8B
7,164,151.77,152,152,145,150.97,49,154.68,222,149.33,246,149.21,146,151.37,0,155.81,,A4,98,91,31,DE,F6,92,0
8,8,155.7,114,153.81,38,155.47,205,149.33,9,155.97,161,150.54,121,153.67,206,150.17,,8,72,26,CD,9,A1,79,CE
9,126,152.56,198,149.82,28,155.51,219,148.85,0,156.87,85,153.77,230,149.79,73,154.34,,7E,C6,1C,DB,0,55,E6,49
10,111,152.4,4,157.07,26,155.42,254,148.63,42,155.44,171,152.01,110,152.26,62,155.37,,6F,4,1A,FE,2A,AB,6E,3E
11,44,153.11,224,148.74,0,155.91,139,151.76,40,155.55,207,149.25,131,152.69,45,154.79,,2C,E0,0,8B,28,CF,83,2D
12,78,154.24,154,151.77,63,154.28,121,152.91,233,148.46,205,149.31,77,155.06,29,155.66,,4E,9A,3F,79,E9,CD,4D,1D
13,222,150.25,134,153.19,3,156.49,213,150.45,139,152.28,240,148.2,147,152.01,198,150.81,,DE,86,3,D5,8B,F0,93,C6
14,81,154.1,69,153.34,237,148.33,153,151.63,244,148.82,180,150.51,195,149.39,192,149.95,,51,45,ED,99,F4,B4,C3,C0
15,116,152.76,170,151.4,131,152.64,13,155.69,52,154.35,144,151.35,86,153.77,86,154.17,,74,AA,83,D,34,90,56,56
16,174,150.28,209,150.92,242,149.03,162,151.02,244,148.41,164,150.45,169,150.71,188,150.29,,AE,D1,F2,A2,F4,A4,A9,BC
17,36,155.15,226,149.29,148,150.92,251,147.84,23,155.44,61,153.71,83,152.99,98,152.76,,24,E2,94,FB,17,3D,53,62
18,7,156.98,105,153.37,148,151.31,217,149.49,138,152.94,185,150.52,85,153.23,67,154.85,,7,69,94,D9,8A,B9,55,43
19,0,157.01,192,150.3,167,151.21,108,153.41,226,148.99,74,154.96,47,154.7,252,148.86,,0,C0,A7,6C,E2,4A,2F,FC
20,38,155.47,133,152.41,103,153.71,39,154.82,163,151.2,75,154.81,30,155.02,137,152.72,,26,85,67,27,A3,4B,1E,89
21,74,154.32,40,154.65,7,155.62,2,157.25,186,149.66,135,153.26,32,156.33,159,151.02,,4A,28,7,2,BA,87,20,9F
22,12,156.99,11,156.36,130,152.26,169,151.7,85,153.44,7,157.09,101,153.21,244,148.57,,C,B,82,A9,55,7,65,F4
23,32,155.24,105,153.36,22,156.56,154,152.18,191,150.76,191,149.95,30,156.02,230,148.56,,20,69,16,9A,BF,BF,1E,E6
24,130,152.07,115,152.4,211,150.37,182,149.92,74,154.7,242,148.67,87,154.15,42,155.79,,82,73,D3,B6,4A,F2,57,2A
25,74,154.81,230,149.95,95,153.57,109,153.27,233,149.03,109,153.58,2,156.58,82,154.54,,4A,E6,5F,6D,E9,6D,2,52
26,157,151.26,14,156.36,158,151.04,4,156.75,22,155.83,236,150.01,209,149.5,117,153.78,,9D,E,9E,4,16,EC,D1,75
27,33,154.65,67,154.21,218,149.52,59,154.63,193,150.24,105,152.92,37,154.46,219,149.39,,21,43,DA,3B,C1,69,25,DB
28,250,149.31,10,155.68,12,155.95,252,149.06,200,150.05,247,148.69,148,150.95,11,156.4,,FA,A,C,FC,C8,F7,94,B
29,145,151.63,215,149.79,12,156.14,29,155.72,186,150.02,28,156.52,208,150.75,152,151.27,,91,D7,C,1D,BA,1C,D0,98
30,194,150.3,20,155.06,48,154.87,91,153.81,21,156.26,160,151.47,47,155.21,44,154.83,,C2,14,30,5B,15,A0,2F,2C
31,52,155.63,104,152.39,219,149.21,248,147.96,17,156.74,17,155.71,239,149.67,199,151.01,,34,68,DB,F8,11,11,EF,C7
32,35,155.75,35,155.02,222,149.13,73,153.25,38,155.27,100,152.4,225,148.84,161,151.73,,23,23,DE,49,26,64,E1,A1
33,33,155.32,55,154.89,16,155.5,230,148.76,146,152.43,1,157.08,76,154.44,104,153.54,,21,37,10,E6,92,1,4C,68
34,67,154.39,103,152.48,12,155.78,107,153.47,220,149.89,83,154.01,198,150.14,239,149.32,,43,67,C,6B,DC,53,C6,EF
